,Address,description,detail,Lat,Lng,Name,Avgscore,Total_review
91,"833 Broadway, Suite 6, New York City, NY 10003-4700","Lilac Gallery aims to discover brand new art styles and art forms. Our main focus is on emerging international artists that explore new media in their concept with cutting edge techniques, breaking the barrier of conventionality with expressive pieces. Handling a roster of contemporary artists and remain to focus on having unique, desirable, thought provoking and original art works in our gallery as well as showcasing American and European Fine Art, we aim to achieve excellence in every regard, maintaining a multitude of hand-selected works in our collection. Client satisfaction is undoubtedly one of the key pillars upon which the gallery was built, as we strive to meet each individual's customized needs by taking the time to cultivate personal client relationships, and gain a solid understanding of where each of their particular interests lie.    ",Recommended length of visit: <1 hour,40.73391,-73.991196,Lilac Gallery,5,4
92,"280 Broome St, New York City, NY 10002-3702",-999,-999,40.71858,-73.99118,Kehila Kedosha Janina,5,4
93,"991 5th Ave, New York City, NY 10028-0101","Founded in 1897 by fifty American Irishmen, the Society's mission is to record the story of the Irish settlement in America to present day.    ",-999,40.77781,-73.96309,American Irish Historical Society,4.5,8
94,"Intersection of Eighth Avenue, Broadway, and West 59th Street, New York City, NY",-999,-999,-999,-999,Discovering Columbus,5,6
95,"155 Avenue C, New York City, NY 10009-5410",-999,-999,40.725765,-73.97797,Museum of Reclaimed Urban Space (MoRUS),4.5,7
96,"47 Fifth Ave, Between 11th and 12th streets, New York City, NY",-999,-999,40.734238,-73.9945,Salmagundi Museum of American Art,5,4
97,"60 E 8th St Apt 12P, New York City, NY 10003-6539",The Museum of Interesting Things is a traveling interactive demonstration/exhibition of antiques and inventions that goes to schools and events and inspires kids and adults to be curious and to tinker. I like to say it shows kids and adults that their ipods did not pop out of thin air! Like a circus,Recommended length of visit: <1 hour,40.730553,-73.99305,The Museum of Interesting Things,5,4
98,"6 Pennyfield Avenue, New York City, NY 10465",-999,-999,40.805225,-73.79152,Maritime Industry Museum at Fort Schuyler,5,5
99,"104 E 126th St, South side of 129th, near intersection w Malcolm X Blvd, New York City, NY 10035-1621",-999,-999,40.805283,-73.93801,The National Jazz Museum in Harlem,4.5,5
100,"54 Greene St, New York City, NY 10013-2603","Since 1984 AFA has represented a stable of unique established and emerging artists whose paintings and sculpture are rooted in masterful figurative technique, and whose collective works are contemporary, edgy and fiercely imaginative. The showroom is located in the heart of SoHo and open 7 days. On permanent exhibition, Joe Sorren, Nicoletta Ceccoli, Tom Everhart, Tim Burton, Anne Bachelier, Pierre Matter, Kathie Olivas, Kurt Wenner, Bill Carman, Daniel Merriam, Jennybird Alcantara, Lin Esser & David Lipson,    ",Recommended length of visit: <1 hour,40.722248,-74.00155,AFA Gallery,5,4
101,"511 W 18th St, New York City, NY 10011-2822",-999,Recommended length of visit: <1 hour,40.745197,-74.00711,Hauser & Wirth,5,3
102,"36 E 12th St, New York City, NY 10003-4604",-999,Recommended length of visit: <1 hour,40.73345,-73.992226,Seidenberg Antiques,5,3
103,"235 East 20th St, New York City, NY 10003-1801",-999,-999,40.736595,-73.98319,Police Academy Museum,5,3
104,"390 Park Ave, New York City, NY 10022-4608",-999,-999,40.75936,-73.9727,Lever House,4,4
105,"594 Broadway Rm 401, Between Houston and Prince, New York City, NY 10012-3234",-999,-999,40.72492,-73.99688,Museum of Comic and Cartoon Art MOCCA NYC,3,13
106,"526 Laguardia Pl, New York City, NY 10012-1401",-999,-999,40.728493,-73.99889,The Renee and Chaim Gross Foundation,5,3
107,"419 W Broadway, New York City, NY 10012-3763",-999,-999,40.72492,-74.00124,Lik Soho,5,3
108,"72 Berry St, New York City, NY",-999,-999,40.72002,-73.9575,Momenta Art,5,3
109,"100 Washington Square East, New York City, NY 10012","Amidst other galleries showcasing the postmodern and avant-garde, NYU's Grey Gallery offers solid 19th- and 20th-century artworks.     ",-999,40.730396,-73.99603,Grey Art Gallery NYU,5,4
110,"257 Bowery, New York City, NY 10002",-999,-999,40.723145,-73.99257,Sperone Westwater,4.5,3
111,"145 6th Avenue, Between Spring and Broome Streets, New York City, NY 10013-1548",This non-profit theater presents off-beat performances by independent artists.    ,-999,40.725113,-74.004875,HERE,4.5,3
112,"170 Central Park West, New York City, NY 10024",-999,-999,40.779266,-73.9742,DiMenna Children's History Museum,4,6
113,"226 W 44th St, between 7th & 8th avenue, New York City, NY 10036-3906",-999,-999,40.75774,-73.98727,Tutankhamun And The Golden Age Of The Pharaohs,2.5,23
114,"393 W Broadway, New York City, NY 10012-4359",-999,Recommended length of visit: <1 hour,40.72409,-74.00215,The Broken Kilometer,4.5,4
115,"35 Wooster St, New York City, NY 10013-5300",-999,-999,40.72245,-74.00291,The Drawing Center,4,4
116,"1285 Avenue of the Americas, New York City, NY 10019-6031",-999,-999,40.760853,-73.97989,Paine Webber Art Gallery,5,2
117,"3 East 65th St, New York City, NY 10021-6527",-999,-999,40.76775,-73.96934,Howard S. Rose Gallery,5,2
118,"52 E 76th St, New York City, NY 10021-2755",-999,-999,40.7739,-73.96267,William Secord Gallery,5,2
119,"215 West 57th St, New York City, NY 10019",-999,-999,40.76601,-73.98079,The Art Students League of New York,4,5
120,"41 East 57th St., New York City, NY 10022",Description: Photography art gallery.,-999,40.76227,-73.9719,Howard Greenberg Gallery,4.5,2
121,"125 E 65th St, New York City, NY 10065-7006",-999,-999,40.766422,-73.96588,China Institute,4,3
122,"526 W. 26th St., New York City, NY",-999,-999,40.75017,-74.00441,Galerie Lelong,4.5,2
123,"15 W 16th St, New York City, NY 10011-6301",-999,-999,40.738003,-73.99372,Yeshiva University Museum,4.5,2
124,"230 Vesey St, Located at Brookfield Place, New York City, NY 10281-1027",-999,Recommended length of visit: <1 hour,40.713215,-74.01524,Museum of Feelings,4,4
125,"15 White St, New York City, NY 10013-2406",-999,Recommended length of visit: 1-2 hours,40.718975,-74.0056,SohoPhoto Gallery,4.5,2
126,"787 Seventh Ave, New York City, NY",-999,-999,40.761837,-73.98218,AXA Gallery,4.5,2
127,"420 West 14th Street, New York City, NY 10014",-999,-999,40.74133,-74.00664,Heller Gallery,4.5,2
128,"40 West 57th Street, New York City, NY 10019","Modern art gallery and publisher of prints 19th and 20th-century masters: Matisse, Picasso, and others.    ",-999,40.763794,-73.97632,Marlborough Gallery,3.5,4
129,"79th and Broadway, On wall of Zabar, New York City, NY",-999,Recommended length of visit: <1 hour,40.78381,-73.97989,"Banksy's ""Hammer Boy""",5,1
130,"70 East 55th St., 6th Floor, New York, NY 10022, 6th Floor, New York City, NY 10022",-999,Recommended length of visit: 1-2 hours,40.760437,-73.97253,Martayan Lan Antique Maps,5,1
131,"548 West 28th Street, 5th Floor, #534, New York City, NY 10001",-999,-999,40.751568,-74.00419,Carter Burden Gallery,5,1
132,"154 Ludlow St, New York City, NY 10002-2211",-999,Recommended length of visit: <1 hour,40.720894,-73.98769,Richard Taittinger Gallery,5,1
133,"97 Kenmare St, New York City, NY 10012-4506",-999,Recommended length of visit: <1 hour,40.721478,-73.9971,Storefront for Art and Architecture,5,1
134,"530 W 25th St, Suite 406, New York City, NY 10001-5516",-999,Recommended length of visit: <1 hour,40.74935,-74.00469,New Century Artists,5,1
135,"Central Park, New York City, NY",-999,-999,40.76763,-73.97847,Charles A Dana Discovery Center,5,1
136,"534 West 21st Street, New York City, NY 10011",Description: Art and sculpture gallery.,-999,40.74692,-74.00689,Paula Cooper Gallery,5,1
137,"1018 Madison Ave, New York City, NY","Mitchell-Innes & Nash houses works of the world-famous artist, Willem de Kooning, as well as today's hottest contemporary artists.    ",-999,40.776005,-73.96265,Mitchell-Innes & Nash,5,1
138,"745 5th Ave, New York City, NY",Description: Contemporary photography gallery.,-999,40.763287,-73.97316,Edwynn Houk,5,1
139,"547 W. 25th St, New York City, NY",Cheim & Read is a well-regarded gallery for modern paintings and photographs.    ,-999,40.750027,-74.005135,Cheim & Read,5,1
140,"516 West 24th Street, New York City, NY 10011",Description: Contemporary art gallery in Chelsea.,-999,40.74878,-74.00473,Gladstone Gallery,5,1
141,"511 West 20th St, New York City, NY",Description: A ground-floor location provides the setting for this contemporary gallery.   A ground-floor location provides the setting for this contemporary gallery.    ,-999,40.746326,-74.00609,ATM Gallery,5,1
142,"459 West 19th St, New York City, NY",-999,-999,40.74509,-74.00536,Postmasters Gallery,5,1
143,"531 West 24th St, New York City, NY 10011","Description: Features modern artists from Europe, Japan, and America.",-999,40.74913,-74.00519,Luhring Augustine Gallery,5,1
144,"515 W 20th St, Suite 4E, New York City, NY 10011-2831","The Children's Galleries for Jewish Culture is a non-religious organization that engages schoolchildren and families in an active, hands-on exploration of history and culture in non-threatening and inclusive ways to benefit the diverse Jewish community and the community at large.It is home to two wonderful exhibitions for children ages 5-12 with over 80 interactive stations. Pack small trunks, decode a new language while shopping at a supermarket, design a neighborhood and much more in From Home to Home: Jewish Immigration to America. In From Tent to Temple: Life in the Ancient Near East, dress a manikin in ancient clothes, grind wheat, hunt for food with a bow and arrow and try forty other activities. Play in both exhibitions and join us in the art room for additional arts and craft activities.    ",-999,40.746323,-74.00631,Children's Galleries for Jewish Culture,5,1
145,"316 W. 115th Street, New York City, NY",Museum devoted to Afro-American art and culture. Its offerings range from sculptures and wax mannequins to paintings and folk art.    ,-999,40.8039,-73.95682,African-American Wax Museum of Harlem,5,1
146,"258 St. Nicholas Avenue, New York City, NY 10027",-999,-999,40.809307,-73.95265,Dwyer Cultural Center,4.5,2
147,"362 W Broadway, New York City, NY 10013-5303","Created by art collectors, brought to life by 160 renowned artists and promising talents from major academies, LUMAS is passionate about offering you original and inspiring art as affordable editions.    ",Recommended length of visit: 2-3 hours,40.72312,-74.00333,Lumas New York - SoHo,3.5,3
148,"2 E 79th St, New York City, NY 10075-0106",-999,-999,40.776714,-73.96354,Ukrainian Institute of America,3.5,2
149,"787 7th Avenue at 51st Street, New York City, NY",-999,-999,40.76172,-73.98281,Equitable Gallery,3,3
150,"547 West 27 Street, New York City, NY 10001",-999,-999,40.75122,-74.004395,Montserrat Gallery,4,2
151,"670 Broadway, Suite 500, New York City, NY 10012-2318",-999,-999,40.72723,-73.9948,Leica Photographic Gallery,3.5,3
152,"421 Broome St, 4th Floor, New York City, NY 10013-3288",-999,Recommended length of visit: <1 hour,40.72114,-73.99881,CIMA - Center for Italian Modern Art,5,2
153,"56 e 1st st, New York City, NY 10003",-999,Recommended length of visit: <1 hour,40.72389,-73.9893,City Lore Gallery,4,1
154,"West Street, Pier 25, New York City, NY 10013",-999,Recommended length of visit: <1 hour,40.721924,-74.01194,Lilac,4,1
155,"981 Madison Ave, The Carlyle Hotel, Second Floor, New York City, NY 10075-1825",-999,Recommended length of visit: <1 hour,40.774445,-73.96317,Di Donna Gallery,4,1
156,"115 Spring St, New York City, NY 10012-3817",-999,Recommended length of visit: <1 hour,40.723827,-73.999954,Opera Gallery,4,1
157,"1190 Amsterdam Ave. MC 5502, 926 Schermerhorn Hall, New York City, NY 10025",-999,Recommended length of visit: 1-2 hours,40.808502,-73.960014,Miriam and Ira D. Wallach Art Gallery,4,1
158,"78 W 120th St, New York City, NY 10027-6533",-999,Recommended length of visit: <1 hour,40.804115,-73.94729,Alex Adam Gallery,4,1
159,"166 Orchard St, New York City, NY 10002-2282",-999,-999,40.721153,-73.98843,Anastasia Photo,4,1
160,"149 Orchard Street, New York City, NY 10002",-999,-999,40.720688,-73.98918,Krause Gallery,4,1
161,"57 Stanton Street, New York City, NY 10002",-999,-999,40.72185,-73.990295,Fusion Arts Museum,4,1
162,"383 West Broadway, New York City, NY","Established in 1969, OK Harris exhibits antiques, collectibles, and photographs.     ",-999,40.72383,-74.00236,OK Harris,4,1
163,"605 Madison Ave, New York City, NY",-999,-999,40.76262,-73.97175,Ronin Gallery,4,1
164,"556 W 22nd St, New York City, NY 10011-1108",-999,-999,40.74801,-74.00724,Chelsea Art Museum,4,1
165,"34 W 137th St # 41, New York City, NY 10037-1901",-999,-999,40.814793,-73.93848,Lewis H. Latimer House Museum,3,2
166,"534 W. 25th St, New York City, NY",The 2nd of two large galleries by Pace Wildenstein (the other is on 57th St) with fine collections of 19th and 20th American modern paintings and sculptures.    ,-999,40.74957,-74.00488,Pace Wildenstein - 25 St,3,3
167,"528 W. 29th St, New York City, NY","Opened in 1995, Sean Kelly presents contemporary works from European and American artists.     ",-999,40.75203,-74.00302,Sean Kelly,3,1
168,"989 Madison Ave, New York City, NY 10021-1825",-999,-999,40.77475,-73.96309,Kenneth W. Rendell Gallery,2.5,2
169,"Broadway between 155th and 156th Streets, New York City, NY 10032",A special-interest museum for people who share an interest in rare and unusual coins.    ,-999,40.8334,-73.94524,American Numismatic Society,2.5,2
170,"781 Fifth Ave, New York City, NY 10022",-999,-999,40.76439,-73.97271,A La Vieille Russie,3,2
171,"145 Sixth Avenue, 601 Fifth Ave., New York City, NY 10013","The small museum represents pre-Impressionist traditions, particularly Renaissance, Baroque and Rococo, and sponsors changing exhibits that focus on 19th- and 20th-century European academic art.    ",-999,40.72516,-74.00493,Dahesh Museum of Art,2,1
172,"15 East 9th Street, Between 5th Avenue and University Place, New York City, NY 10003-5905","The MARGO FEIDEN GALLERIES LTD has represented artist AL HIRSCHFELD since 1969. AL HIRSCHFELD's ARCHIVE of the PERFORMING ARTS is on Permanent Exhibition and Available to Collect. The Archives include art from BROADWAY Plays & Musicals, FILM, DANCE, OPERA, JAZZ, and CLASSICAL MUSIC.AL HIRSCHFELD's Drawings, signed and numbered lithographs, Books and Puzzles. In addition to our Regular Hours, we are also open Weekends by appointment.    ",Recommended length of visit: 1-2 hours,40.73261,-73.9948,Margo Feiden Galleries Ltd,-999,-999
173,"1426 Avenue of the Americas, New York City, NY 10019-1504",-999,Recommended length of visit: <1 hour,40.765133,-73.97627,Jalallar Gallery,1,1
174,"210 Eleventh Avenue - 2nd Floor, New York City, NY 10001",-999,-999,40.749847,-74.00589,Kent Gallery,1,1
175,"523 West 24th St, New York City, NY 10011-1108",Description: Art dealer and gallery.,-999,40.74901,-74.00489,Matthew Marks Gallery,1,1
176,"West End, New York City, NY","Provides unique personally curated experiences in museums all over NYC for adults, families, and groups.Whether it be a tour of a museum collection, a special exhibition, designed around your specific interests, or one of the themed tours on the website‰ÛÒ every exploration is interactive, contextual, and draws from other senses and disciplines to make it fully engaging and thought-provoking. åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ åÊ     ",Recommended length of visit: 1-2 hours,40.78751,-73.97886,Nadja Hansen/ Art Explorations,-999,-999
177,"536 West 22nd Street, New York City, NY 10011",-999,-999,40.747562,-74.00633,Lehmann Maupin,-999,-999
178,"27 West 28th Street, Floor 3, New York City, NY 11101","The Center for Book Arts is one of few contemporary arts organizations dedicated to the art of the book, and the only location in New York City at which visitors can view book arts exhibitions in the context of an active, working studio. In keeping with the Center's mission, our exhibitions endeavor to place book art practice within the larger context of contemporary art, exploring the book as object, as media, and as a site of resistance. The Center for Book Arts is dedicated to exploring and cultivating contemporary aesthetic interpretations of the book as an art object, while preserving the traditional practices of the art of the book. The Center seeks to facilitate communication between the book arts community and the larger spheres of contemporary art and literature through exhibitions, classes, public programming, literary presentations, opportunities for artists and writers, publications, and collecting. Founded in 1974 and still located in Manhattan, it was the first not-for-profit organization of its kind in the nation, and has since become a model for others around the world.    ",Recommended length of visit: <1 hour,40.7455,-73.98897,The Center for Book Arts,-999,-999
179,"55 Chrystie St, Suite 202, New York City, NY 10002",-999,-999,40.71651,-73.99503,Johannes Vogt Gallery,-999,-999
180,"170 Suffolk Street, New York City, NY 10002",-999,-999,40.72094,-73.98497,Rachel Uffner,-999,-999
181,"300 Broome Street, New York City, NY 10002",-999,-999,40.71891,-73.99211,Derek Eller Gallery,-999,-999
182,"104 Central Park South, New York City, NY 10019",-999,-999,40.765675,-73.97665,Galeries Bartoux,-999,-999
183,"2073 Adam Clayton Powell, Jr Blvd, New York City, NY 10027",-999,-999,40.80741,-73.949974,Long Gallery Harlem,-999,-999
184,"90 Vandam St, New York City, NY 10013-1007",-999,-999,40.72657,-74.008125,The Compleat Sculptor,-999,-999
185,"109 Norfolk St, New York City, NY 10002-3558",-999,Recommended length of visit: <1 hour,40.71904,-73.98719,Chesterfield Gallery,-999,-999
186,"6 East 1st Street, New York City, NY",-999,-999,40.72482,-73.99166,Howl! Happening,-999,-999
187,"Various locations on the High Line, New York City, NY",-999,Recommended length of visit: 1-2 hours,-999,-999,Wanderlust,-999,-999
188,"25 Central Park West, New York, NY 10023, New York City, NY 10023",-999,Recommended length of visit: 1-2 hours,40.770287,-73.98066,"Joseph K. Levene Fine Art, Ltd.",-999,-999
189,"41 Greene St, B1, New York NY 10013, New York City, NY 10013-5916",-999,Recommended length of visit: <1 hour,40.72205,-74.002045,FitzGerald Fine Arts,-999,-999
190,"26 W 17th St, New York City, NY 10011-5710",-999,Recommended length of visit: <1 hour,40.738396,-73.993935,Rennert's Gallery,-999,-999
191,"240 E 4th St, New York City, NY 10009-7404",-999,Recommended length of visit: <1 hour,40.723206,-73.98281,VolaVida Gallery,-999,-999
192,"250 Broome St, New York City, NY 10002-3857",Description: Art gallery focusing on showcasing emerging and mid-career artists,-999,40.718204,-73.989655,Catinca Tabacaru Gallery,-999,-999
193,"537A W 23rd St, New York City, NY 10011-1102","Hixenbaugh Ancient Art is an ancient art gallery located amidst the many vibrant Contemporary and Modern Art galleries located in in the Chelsea neighborhood of of Manhattan. We specialize in fine authentic ancient art from Europe, the Middle East, North Africa, Central America and South America. We are passionate about our shared past and want to share our admiration of antiquity. Throughout the year, the gallery prepares thematic exhibitions of ancient art for everyone to enjoy. Our current exhibition focuses on the prosperity of the typical citizen of the Roman Empire during the 1st and 2nd centuries AD. ""PAX ROMANA"" features objects of daily life, personal items and decorative items of wealthy Romans. The exhibition is on display through October 24, 2015. Our gallery director, Randall A. Hixenbaugh, has been involved in ancient art and antiquities for over 20 years. We specialize in building collections with our clients, both public and private. Due to our in depth knowledge of the antiquities market we are often able to locate particular pieces to complement any collection. History Established in 2006. After working at several art galleries, Randall Hixenbaugh opened his own gallery in 2006. Randy has been involved in ancient art and antiquities for nearly 20 years. He holds a Master's Degree in Classical Archaeology and has participated in a number of archaeological excavations of Roman and Punic sites in Tunisia. Hixenbaugh Ancient Art Ltd is a gallery dedicated to handling fine authentic antiquities. All of the pieces we handle are legally and ethically acquired, in complete accordance with US and international regulations and laws concerning the import and sale of ancient objects. We deal only in authentic pieces with minimal or no restoration. We specialize in fine authentic art from many ancient cultures including Sumerian, Hittite, Babylonian, Assyrian, Canaanite, Judaean, Phoenician, Egyptian, Roman, Greek, Cypriot, Etruscan, Celtic, Byzantine and Pre-Columbian America. Mr. Hixenbaugh is also a member of the Appraisers Association of America (AAA), and is qualified to perform appraisals of antiquities for insurance valuation, estate valuation, and charitable donation.    ",Recommended length of visit: <1 hour,40.748528,-74.00554,Hixenbaugh Ancient Art,-999,-999
194,"542 W 24th St, New York City, NY 10011-1103",-999,-999,40.74905,-74.00583,Lyons Wier Gallery,-999,-999
195,"24 W 57th St, New York City, NY 10019-3918",-999,-999,40.763405,-73.9756,Ana Tzarev Gallery,-999,-999
196,"606 W 26th St, New York City, NY 10001-1104","To unite artists and collectors, to make art viable once again by offering a platform, a unique and exciting venue that attracts and engages the most prominent names in the New York art world today. The elite art world of New York City is a limited circle and it is our aim to provide an exciting venue that is vibrant and vital to all interested parties, including the art illuminati, dealers, collectors and the artist, which currently stand apart and have been presently vivisected. Our visionary goal is to reopen the art world with synergetic exchanges between artist and dealers, patrons and collectors: to provide the communication and information necessary to understand the contemporary art world of Chelsea, which is a mystery to most artists: To redefining the parameters of buying and selling and creating art, to make this available and transparent to artists at large around the country and around the world, as to what is making and molding the art of our time, how this is happening and how one can become a vital part of this world and of art in our time.     ",-999,40.750862,-74.00613,Ico Gallery,-999,-999
197,"984 Madison Ave, New York City, NY 10075-1829",-999,-999,40.77478,-73.963295,Keszler Gallery,-999,-999
198,"41 Grand St, Ground Floor, New York City, NY 10013","In response to evolving modes of artistic production, Recess proposes a new model that fuses public space, studio space and exhibition space.Artists are given street level residencies at 41 Grand Street in Manhattan. The space is open to the public and free of charge.    ",-999,40.72242,-74.00424,Recess,-999,-999
199,"45 Orchard St, New York City, NY",-999,-999,40.716324,-73.99136,Michali Fine Art,-999,-999
200,"601 W 26th St, New York City, NY 10001",-999,-999,40.75154,-74.00685,One Gallery,-999,-999
201,"11 Mercer St, New York City, NY 10013-2579",-999,-999,40.72051,-74.0022,Visionaire Gallery,-999,-999
202,"Central Park, New York City, NY",Christo and Jeanne-Claude's orange fabric gates cover 23 miles of walkway in Central Park.    ,-999,40.77208,-73.9717,The Gates,-999,-999
203,"110 West 25th Street, New York City, NY 10001",-999,-999,40.744267,-73.992584,Illustration House,-999,-999
204,"19 E. 64th St, Between 5th and Madison, New York City, NY","Founded in Paris about 130 years ago, Wildenstein's mark on art collecting, exhibiting and dealing has been significant. The New York gallery is know for impressionist exhibitions.     ",-999,40.76705,-73.96936,Wildenstein & Co.,-999,-999
205,"544 West 26th Street, New York City, NY","The Tony Shafrazi gallery presents top modern artists. A new gallery in Chelsea (formerly in SoHo) features 10,000 sq ft of exhibition space and works by world-famous artist, Keith Haring.    ",-999,40.75036,-74.00485,Tony Shafrazi,-999,-999
206,"724 5th Ave., New York City, NY","For over 55 years, Tibor de Nagy Gallery has presented the top contemporary master works of artists like Georgia O'Keeffe.    ",-999,40.762623,-73.97446,Tibor De Nagy,-999,-999
207,"521 W. 21st St., New York City, NY",Description: Contemporary art gallery.,-999,40.747116,-74.00619,Tanya Bonakdar Gallery,-999,-999
208,"45 E. 58th St, New York City, NY","Spanierman collects, sells and presents 19th- and early-20th-century American fine art painting and sculpture including the master artworks of Frederic Remington and Winslow Homer.    ",-999,40.76265,-73.97088,Spanierman,-999,-999
209,"536 W. 22nd St, New York City, NY",-999,-999,40.747498,-74.00627,Sonnabend,-999,-999
210,"42 Rivington St., New York City, NY",This avant-garde gallery hosts works from diverse range artists from around the world.    ,-999,40.72097,-73.99102,The Scene Gallery,-999,-999
211,"524 West 26th St., New York City, NY","Robert Miller is known for hosting painting, sculpture and photography exhibits by New York's art luminaries including photography from the estate of Robert Mapplethorpe.    ",-999,40.75009,-74.00423,Robert Miller,-999,-999
212,"102 Rivington St, New York City, NY",Description: Intimate gallery with diverse photographic and multimedia artworks.,-999,40.72009,-73.98812,Rivington Arms,-999,-999
213,"41 E. 57th St., New York City, NY",Peter Findlay displays European masters of the 19th- and 20th-century including Mary Cassatt and Paul Klee.    ,-999,40.76227,-73.9719,Peter Findlay,-999,-999
214,"32 E. 57th St, New York City, NY",A fine collection of prints and classic American artworks can be found at Pace Wildenstein.    ,-999,40.76189,-73.97204,Pace Wildenstein - 57th St,-999,-999
215,"4 E. 77th St, New York City, NY",Michael Werner presents 20th-century master painters with a focus on the work of german artists.    ,-999,40.77534,-73.9642,Michael Werner,-999,-999
216,"59 E. 79th St., New York City, NY",Art gallery with world-renowned paintings by Roy Lichtenstein and Jackson Pollock.    ,-999,40.77629,-73.96134,Leo Castelli,-999,-999
217,"730 5th Ave., New York City, NY",-999,-999,40.76291,-73.974556,Lawrence Rubin Greenberg Van Doren Fine Art,-999,-999
218,"19 E. 70th St., Hunter College, New York City, NY",-999,-999,40.770775,-73.966576,Knoedler & Co.,-999,-999
219,"601 W. 26th St., New York City, NY",-999,-999,40.75154,-74.00685,Joseph Helman,-999,-999
220,"505 W. 28th St., New York City, NY",-999,-999,40.751022,-74.0023,JG/Contemporary,-999,-999
221,"513 West 20th Street, New York City, NY 10011",-999,-999,40.74637,-74.00626,Jack Shainman Gallery,-999,-999
222,"436 W. 15th St, New York City, NY",-999,-999,40.742126,-74.00663,Gavine Brown's Enterprise,-999,-999
223,"37 Main St., New York City, NY",-999,-999,40.75731,-73.955215,Gale Gates Et Al,-999,-999
224,"76 Grand St., New York City, NY 10013",Description: Modern art gallery.,-999,40.722034,-74.002556,Deitch Projects,-999,-999
225,"984 Madison Avenue, New York City, NY",A truly rare venue in American modern art -- David Finlay is a fifth generation art gallery. The focus of the gallery is on contemporary American and French representational figure artists.     ,-999,40.774826,-73.96341,David Finlay Galleries,-999,-999
226,"416 W. 14th St., New York City, NY","Description: Conceptual, modern art gallery.",-999,40.74133,-74.00631,Casey Kaplan,-999,-999
227,"79 Walker St., New York City, NY","Founded in 1981, this non-profit gallery has a mission to present modern artworks that is ""underrepresented in art museums or commercial galleries."" Guest curators coordinate exhibits. Hours: Tuesday through Saturday, 12‰ÛÓ6pm    ",-999,40.718124,-74.001854,Art in General,-999,-999
228,"275 Hudson St, New York City, NY",Description: Contemporary art gallery located in Chelsea.,-999,40.725136,-74.00769,Ace,-999,-999
229,"156 Rivington St, New York City, NY",This art collective for social and artistic expression displays modern artwork.    ,-999,40.719315,-73.98538,ABC No Rio,-999,-999
230,"525 W. 22nd St.,, New York City, NY",The innovative master works of leading-edge artists are on display at the 303 gallery -- known for its fine presentation of contemporary photographers and painters.    ,-999,40.74761,-74.00547,303,-999,-999
231,"222 West 23rd St, between Seventh and Eighth avenues, New York City, NY 10011-2301",-999,-999,40.74441,-73.99679,Holly Solomon Gallery,-999,-999
232,"41 East 57th St, at Madison Ave, New York City, NY 10022-1908",-999,-999,40.762295,-73.97236,J J Lally & Co. Oriental Art,-999,-999
233,"520 west 27th street, New York City, NY 10001",-999,-999,40.75057,-74.00369,Nancy Hoffman Gallery,-999,-999
234,"526 West 26th St, Suite 311, New York City, NY",-999,-999,40.749973,-74.004295,Rush Arts Gallery,-999,-999
235,"534 West 22nd St, Between Tenth and Eleventh avenues, New York City, NY",-999,-999,40.747524,-74.00624,Sandra Gering Gallery,-999,-999
236,"102 Prince St, New York City, NY 10012-5416",-999,-999,40.724804,-73.998955,David Beitzel Gallery,-999,-999
237,"475 Park Ave, at 58th Street, New York City, NY 10022-1669",-999,-999,40.76193,-73.97005,Chinese Porcelain Company,-999,-999
238,"539 West 23rd St, Ground Floor, New York City, NY 10001-5517",-999,-999,40.748425,-74.00557,Caren Golden Fine Art,-999,-999
239,"526 West 26th St, 10th Floor, New York City, NY 10001-5517",-999,-999,40.75017,-74.00441,Henry Urbach Architecture,-999,-999
