,address,description,detail,lat,lng,name,rating,total_review
111,"Between 45th and 47th Streets, Broadway and Seventh Avenue, New York City, NY",-999,-999,40.758564,-73.98465,Duffy Square,4.5,52
112,"74th Street near Fifth Ave, Central Park, New York City, NY 10021",-999,-999,40.773785,-73.96607,Hans Christian Andersen Statue,4.5,40
113,"124 Liberty St., New York City, NY 10006",-999,-999,40.709923,-74.01335,FDNY Memorial Wall,4.5,38
114,"421 8th Ave (between 31st & 33rd St), New York City, NY 10001",A great-columned edifice; as much a post office as a monument to the vocation of postal carrier.     ,-999,40.751266,-73.99404,James A. Farley Post Office,4,79
115,"2344 Arthur Ave, New York City, NY 10458",-999,-999,40.85416,-73.88817,Arthur Avenue Retail Market,4.5,62
116,"226 W 44th St, Discovery Times Square, New York City, NY 10036-3906",-999,-999,40.757652,-73.98712,The Art of the Brick by Nathan Sawaya,5,35
117,"60 Lincoln Center Plaza, New York City, NY",-999,-999,40.772266,-73.98267,The Juilliard School,4.5,41
118,"44th Street and Broadway, New York City, NY 10112",-999,-999,40.75725,-73.98578,Good Morning America Studios,4.5,64
119,"City Hall Park, New York City, NY 10001","A building with a shady past, this 1872 Italianate courthouse was built when William Marcy ""Boss"" Tweed who, in his post as city supervisor, stole millions of dollars in construction funds.    ",-999,40.7132,-74.005936,Tweed Courthouse,4,48
120,"Midpark between 66th and 72nd Sts., New York City, NY",-999,-999,40.77115,-73.96393,The Mall,4.5,33
121,"American Museum of Natural History, New York City, NY 10024",A dizzying virtual tour of the universe (from the comfort of your seat) is just one of the exhibits at the Rose.    ,-999,40.780766,-73.97268,Rose Center for Earth and Space,4.5,66
122,"Between West 26th Street and 42nd Streets, New York City, NY",-999,Recommended length of visit: 1-2 hours,40.75722,-73.9898,Seventh Avenue,4.5,35
123,"Chambers and Centre streets, New York City, NY",-999,-999,40.712795,-74.004906,The Municipal Building,4,52
124,"40 Lincoln Center Plaza, at Amsterdam Avenue, New York City, NY 10023-7486",-999,-999,40.77348,-73.98481,New York Public Library for the Performing Arts,4.5,41
125,"No. 19 Washington Square, New York City, NY",-999,-999,40.730824,-73.99733,No. 19 Washington Square,4.5,33
126,"139 West 46th St, New York City, NY 10036-8502",-999,-999,40.758392,-73.98382,Church of Saint Mary the Virgin,4.5,50
127,"Pier 17, New York City, NY",-999,-999,40.705925,-74.00317,Pier 17,3.5,129
128,"60 Centre St, New York City, NY 10007-1402",-999,-999,40.714325,-74.00147,New York City Supreme Court,4,41
129,"770 Riverside Dr, New York City, NY 10032-7535",-999,-999,40.83401,-73.94808,Trinity Church Cemetery & Mausoleum,4.5,38
130,"123 W. 43rd St, New York City, NY",-999,-999,40.756115,-73.9845,Town Hall,4,49
131,"1 Bowling Green, New York City, NY",A picturesque Beaux Arts building where visitors can gaze upon beautiful Reginald Marsh murals in an oval rotunda.    ,-999,40.70433,-74.01398,United States Custom House,4.5,33
132,"2081 Adam Clayton Powell Jr Blvd, New York City, NY 10027-4931",-999,Recommended length of visit: 1-2 hours,40.808296,-73.94871,Greater Refuge Temple,4.5,21
133,"200 Park Av., New York City, NY (Formerly Pan Am Building)",-999,-999,40.751575,-73.97962,MetLife Building,3.5,59
134,"Washington Square Park, New York City, NY",-999,Recommended length of visit: <1 hour,40.730553,-73.99736,Washington Square Arch,4,31
135,"26 Wall St., Battery Park, New York City, NY 10004","Once serving as the United States Army headquarters during the War of 1812, this historical monument commemorates the 1811 West Battery Fort built to defend New York Harbor.    ",-999,40.703583,-74.016365,Castle Clinton National Monument,3.5,92
136,"39 Battery Place, (at Nassau St.), New York City, NY 10280","Wall Street was the building ground for early skyscrapers, and this museum is dedicated to studying and enjoying them.    ",-999,40.70654,-74.01675,Skyscraper Museum,3.5,121
137,"East Drive at 67th Street, Central Park, New York City, NY",-999,Recommended length of visit: <1 hour,40.77424,-73.98113,Balto Statue,4.5,24
138,"Broadway and Murray St, City Hall Park, New York City, NY 10007","Free tours of City Hall are offered on Wednesdays at 12:00 PM. Tours are filled on a first-come, first-serve basis. Register the day of the tour between 10:00 AM and 11:30 AM at the NYC tourism kiosk, which is located at the southern end of City Hall Park on the east side of Broadway at Barclay Street.    ",Recommended length of visit: <1 hour,40.71306,-74.0072,New York City Hall,4,34
139,"Columbus Ave and Broadway, New York City, NY",-999,-999,40.77212,-73.983,Lincoln Square,4.5,37
140,"New York City, NY",A unique neighborhood with an interesting history and escape from the hectic pace of NYC.    ,-999,40.749107,-73.97078,Tudor City,4,43
141,"1395 Lexington Ave, New York City, NY 10128",Description: Poetry readings.,-999,40.78299,-73.95273,92nd Street Y Tisch Center for the Arts,4.5,36
142,"133 Canal Street, New York City, NY 10002",-999,-999,40.716045,-73.996315,Mahayana Buddhist Temple,3.5,57
143,"1 E. 65th St., At Fifth Ave., New York City, NY","Founded in 1845, this is the oldest reform congregation in New York City and one of the world's largest Jewish houses of worship, which features striking architecture, beautiful mosaics and stained-glass windows.    ",-999,40.768055,-73.96995,Temple Emanu-El,4.5,28
144,"55 Water Street, New York City, NY","The Plaza is New York City‰Ûªs official Vietnam Veterans Memorial. The Memorial and the surrounding plaza provides and maintains a valuable and overdue tribute to the men and women who served in the Vietnam War.Visitors can view letters, news clippings, photos, honor plaques and diaries of those who fought in Vietnam as well as spend time near the Reflecting Fountain or stroll along the Walk of Honor.    ",-999,40.703022,-74.01023,New York City Vietnam Veterans Memorial Plaza,4,51
145,"Between John and Fulton Streets, New York City, NY 10038",-999,-999,40.69178,-73.98821,Fulton Center,4.5,27
146,"230 Park Ave, New York City, NY 10169-0005",-999,Recommended length of visit: <1 hour,40.754265,-73.976974,Helmsley Building,4.5,19
147,"100 Centre St, New York City, NY 10013-4308",-999,-999,40.715565,-74.00046,New York City Criminal Court,4,45
148,"Christopher St at Hudson River, New York City, NY",-999,-999,40.733166,-74.01383,Pier 45,4.5,24
149,"1 Randalls Island Park, Wards Island, New York City, NY 10035",-999,-999,40.786186,-73.932304,Randall's Island Park,4,28
150,"Fort Washington Park, Hudson River Greenway, New York City, NY 10032",-999,-999,40.85005,-73.94681,Little Red Lighthouse,4,31
151,"New York City, NY",-999,Recommended length of visit: <1 hour,40.84232,-73.93027,The High Bridge,4,27
152,"Marine Midland Plaza 140 Broadway, New York City, NY",-999,-999,40.70863,-74.01003,Red Cube,4,44
153,"34 W 51st St, New York City, NY 10020-1600","Climb aboard a fire truck, try on a bunker coat, learn how to action against the power of fire. The FDNY Fire Zone is a state-of-the-art fire safety learning center run by the FDNY Foundation in association with the New York City Fire Dept. Visit our store and pick up officially licensed FDNY clothing and souvenirs.    ",-999,40.759686,-73.97848,FDNY Fire Zone,4,44
154,"421 E 61st St, New York City, NY 10065-8736","Constructed in 1799 as a carriage house and converted into a day hotel in 1826, the Museum transports visitors back to a 19th-century country resort for New Yorkers escaping the crowded city below 14th Street. Enjoy a guided tour of eight period rooms, browse in the gift shop, and linger in the secret garden.    ",-999,40.760406,-73.95993,Mount Vernon Hotel Museum & Garden,4.5,31
155,"300 W 57th St, New York City, NY 10019-3741",-999,Recommended length of visit: <1 hour,40.766685,-73.9835,Hearst Tower,4.5,27
156,"220 E. 42nd St., New York City, NY",The lobby's eclectic collection of gadgets and factoids is the main draw of this building.    ,-999,40.75006,-73.973175,Daily News Building,4,29
157,"375 Park Ave S, New York, New York City, NY 10016-8801",-999,-999,40.758923,-73.973015,Seagram Building,4,27
158,"34th Street, New York City, NY",-999,Recommended length of visit: More than 3 hours,40.75159,-73.99206,34th Street,4.5,15
159,"22 Barclay St, near the World Trade Center, New York City, NY 10007-2705","Roman Catholic parish with three historic and beautiful downtown NYC places of worship. St. Peter's Church is the first Catholic parish in New York State. Established in 1785. Rich history and growing community. Religious education program. Famous parishioners include first American Saint Elizabeth Ann Seton, Venerable Pierre Toussaint and Carmelite Mother Adelaide of Saint Teresa. Venerable FÌ©lix Varela y Morales served as a priest in the parish as well.    ",Recommended length of visit: <1 hour,40.712364,-74.00957,St. Peter's Church,4,26
160,"79 East 4th Street, New York City, NY 10003",Description: Famous drama theater and acting workshop of New York City.,-999,40.726635,-73.98999,New York Theater Workshop,5,21
161,"Battery Park, Manhattan, New York City, NY",-999,-999,40.703953,-74.0175,American Merchant Marines Memorial,4,23
162,"2880 Broadway, New York City, NY","Description: This is the diner featured in the hit TV series ""Seinfeld.""   This is the diner featured in the hit TV series ""Seinfeld.""    ",-999,40.805172,-73.965775,Tom's Diner,3.5,61
163,"420 W 145th St, New York City, NY 10031-5202",-999,Recommended length of visit: 1-2 hours,40.824333,-73.946045,Convent Avenue Baptist Church,5,17
164,"55 Central Park W, New York City, NY 10023-6076",-999,Recommended length of visit: <1 hour,40.77237,-73.97911,Ghostbusters Building,4,27
165,"285 Fulton St, New York, NY 10007, New York City, NY 10007",-999,-999,40.71157,-74.01021,Freedom Tower,5,13
166,"West 26th Street, Pier 66 Hudson River Park, New York City, NY 10001","Pier 66 Maritime is located in the Hudson River Park at 26th Street and the West Side Highway at Pier 66a. We are a floating historic Rail-Barge that has been re-purposed as a Bar, Restaurant, Dining area. We are a seasonal establishment operating from Mid-April through October.    ",Recommended length of visit: 1-2 hours,40.752125,-74.00905,Pier 66 Maritime,4.5,18
167,"652 Lexington Ave, New York City, NY 10022-4533",-999,-999,40.75958,-73.970566,Central Synagogue,4.5,23
168,"121 Wooster St., New York City, NY 10012","A century ago the Bowery's music halls, theaters and upscale joints drew folks from all over the city, but these days it's a bit of a skid row",-999,40.72507,-74.00048,Bowery,4,31
169,"East 88th Street and East End Avenue, New York City, NY 10128",In 1942 New York City mayor Fiorello La Guardia opted to live in Gracie Mansions instead of his palatial residence on Riverside Drive. Since then it has served as the mayoral residence.     ,-999,40.77623,-73.94382,Gracie Mansion,4.5,27
170,"Central Park, New York City, NY",-999,Recommended length of visit: <1 hour,40.76763,-73.97847,Bethesda Arcade,4.5,11
171,"Avenues A, B, C, and D, between Houston and 23rd, New York City, NY",-999,-999,40.72803,-73.98432,Alphabet City,4,21
172,"New York City, NY",Description: A historical theater with wonderful architecture and sculptural works.    A historical theater with wonderful architecture and sculptural works.     ,-999,-999,-999,Barrymore Theater,4,33
173,"Broadway, New York City, NY",-999,Recommended length of visit: 1-2 hours,40.83734,-73.94258,Trip to Bountiful,4.5,27
174,"1 West 29th Street, New York City, NY 10001",-999,-999,40.7455,-73.98698,Marble Collegiate Church,4.5,16
175,"40 West 40th St, New York City, NY 10018","Built between 1923 and 1924 for the American Radiator Company, the American Standard Building has a distinctive stepped-back pyramidal roof, among the first in New York City.     ",-999,40.752857,-73.9839,American Standard Building,4.5,15
176,"Riverside Drive, New York City, NY",Description: This road is located on Manhattan's west side.,-999,40.81621,-73.962036,Riverside Drive,4.5,16
177,"14th St and 8th Av, Subway Station, New York City, NY",-999,-999,40.739742,-74.002525,Life Underground,4,20
178,"1160 Amsterdam Ave, Morningside Heights Campus, New York City, NY 10027-7003",-999,Recommended length of visit: <1 hour,40.807858,-73.960945,Saint Paul Chapel,4.5,12
179,"1 Madison Ave., New York City, NY","Description: From 1909-1913, this was the world's tallest building.",-999,40.742634,-73.9885,Metropolitan Life Insurance Tower,4,17
180,"141 Wooster St, New York City, NY 10012-3163",-999,-999,40.72597,-73.99973,The New York Earth Room,4,25
181,"353 W 14th St, New York City, NY 10014-5001","The Gansevoort Market personifies old New York - offering a curated selection of locally produced goods and fare. The industrial inspired architecture brings together the history of the market while creating a modern communal space to eat, entertain and relax.    ",-999,40.74085,-74.0047,New Gansevoort Market,4.5,10
182,"980 Park Avenue, New York City, NY 10028",-999,-999,40.778904,-73.95883,The Church of St. Ignatius Loyola,5,11
183,"222 W 23rd St, New York, New York City, NY 10011-2393",-999,-999,40.74422,-73.99717,Chelsea Hotel,3.5,28
184,"515 West 125th Street, New York City, NY",-999,-999,40.81411,-73.95667,Antioch Baptist Church New York,4,29
185,"New York City, NY",-999,-999,40.71897,-74.05092,Orchard Street,3.5,22
186,"Elizabeth Street, New York City, NY",-999,-999,40.720634,-73.99497,Elizabeth Street,4.5,11
187,"37 West 44th St, New York City, NY 10036",-999,-999,40.75566,-73.9816,New York Yacht Club,4.5,13
188,"90-14 Rockaway Beach Blvd, Between 90th and 91st streets, New York City, NY",Description: Seaside area of New York.,-999,40.5871,-73.814476,Rockaways,4,17
189,"15 Gramercy Park South, New York City, NY 10003",-999,-999,40.736614,-73.985275,The National Arts Club,5,12
190,"East 7th Street to Astor Place, Cooper Square, New York City, NY",-999,-999,40.728485,-73.990654,Cooper Union Foundation Building,4,14
191,"1 East 29th St, at Fifth Avenue, New York City, NY 10016-7405",-999,-999,40.7453,-73.98684,Church of the Transfiguration,4.5,13
192,"1047 Amsterdam Ave, New York City, NY 10025-1747",-999,-999,40.804348,-73.96508,Peace Fountain - Friedensbrunnen,4.5,13
193,"405 W 59th St, New York City, NY 10019-1104",-999,Recommended length of visit: <1 hour,40.769474,-73.985344,Church of St. Paul the Apostle,4.5,9
194,"4881 Broadway, (at 204th St), New York City, NY 10034",Description: This wooden building is the only surviving Dutch farmhouse in the city.   This wooden building is the only surviving Dutch farmhouse in the city.    ,-999,40.867306,-73.92288,Dyckman Farmhouse Museum,4,17
195,"Liberty St., New York City, NY",-999,Recommended length of visit: <1 hour,40.709927,-74.012184,Zuccotti Park,4,15
196,"Pearl & Fulton Street, South Street Seaport, New York City, NY 10038",-999,Recommended length of visit: <1 hour,40.70744,-74.00405,Titanic Memorial Park,4,15
197,"321 E 42nd St, New York City, NY 10017-5908",-999,-999,40.749634,-73.97143,Ford Foundation Building,4,13
198,"135 W 31st St, New York City, NY 10001-3403",-999,Recommended length of visit: 1-2 hours,40.748737,-73.99064,Church of St. Francis of Assisi,4.5,9
199,"Central park, New York City, NY",-999,Recommended length of visit: <1 hour,40.76763,-73.97847,Jose de San Martin Statue,4,13
200,"Confucius Plaza, Bowery, New York City, NY",-999,-999,40.71414,-73.99741,Statue of Confucius,3.5,25
201,"Battery Park, New York City, NY 10004",-999,Recommended length of visit: <1 hour,40.70286,-74.01432,The Sphere,4.5,8
202,"810 7th Ave, b/t 53rd St & 52nd St, New York City, NY 10019-5818",-999,Recommended length of visit: <1 hour,40.76414,-73.98662,Hope Sculpture,4,14
203,"500 J F Kennedy Blvd E, New York City, NY",-999,-999,-999,-999,Lincoln Tunnel,3.5,15
204,"240 E 26th St, New York City, NY 10010-2436","Holographic Studios is the world's oldest gallery of 3D holography. The gallery is open free to the public on weekday afternoons. We also offer classes, gifts, and custom hologram portraits. See our website for detail on our guided tours of our gallery and subterranean mad scientist laser laboratory.     ",-999,40.739807,-73.98016,Holographic Studios,4.5,10
205,"New York City, NY",-999,-999,40.78472,-73.95611,Carnegie Hill,4.5,10
206,"140-6 West 137th Street, New York City, NY 10030","The history of the Mother African Methodist Episcopal Zion Church, its growth and development, is one of the extraordinary stories of American history. In 1796, a handful of Black men, free and enslaved-along with James L. Varick, walked out of the John Street Methodist Episcopal Church to establish a separate Black church called ""Zion."" The growth and development of Zion church mirrors the growth and development of New York itself. Starting in what is now the City Hall area, from its humble beginnings in a stable on Cross Street, Mother Zion has played a critical role in every aspect of African-American life during early New York City history.Many social organizations were founded to assist and improve the condition of the Negro, and Mother Zion Church played a key role in the growth process. William Miller, one of the trustees of Mother Zion, was selected as the first President of the New York African Society for Mutual Relief chartered by New York State in 1810. In 1817, the New York African Bible Society was established from his home.As one of the earliest and most vocal opponents of slavery and a constant champion of abolition, Mother Zion was there. In fact, Mother Zion became an important stop of the ""Underground Railroad,"" hiding slaves behind the pulpit in a secret passageway. ""Freedom's Journal,"" the first Black newspaper published in the United States, operated from the basement of Mother Zion Church from May 4, 1827 to May 2, 1828 for almost a year! Mother Zion's legacy is difficult to surpass, as it has always been a promoter of education and racial self-help for African Americans in this great city. Although our gains as a people have been significant against tremendous odds, the challenges are ever present.The nurturing of great men and women is another of Zion's legacies: Sojourner Truth transferred her membership from the John Street Methodist Episcopal Church to Zion Church in 1827. It was at the altar of Mother Zion that she changed her name to Sojourner Truth and there she was also reunited with her sisters who had been separated during slavery. Sojourner Truth became one of the foremost voices for women's and equal rights and the abolition of slavery. Mother Zion is also known as the ""Freedom Church."" Throughout its long history, Mother Zion has had many illustrious members who were leaders in our historic fight for freedom. They include Harriett Tubman, Frederick Douglass, Sojourner Truth, Paul Robeson, Madame C.J. Walker and many others who fought so valiantly to free African Americans, socially, politically and spiritually. Today, it is the Mother Church of the African Methodist Episcopal Zion Church denomination located on five continents with a membership of over 1.5 Million. Mother Zion remains actively involved in all aspects of community involvement, and committed to the civil rights struggle, political empowerment and spiritual enhancement.    ",-999,40.81595,-73.94203,Mother African Methodist Episcopal Zion Church,4,22
207,"7 State St, Our Lady of the Rosary Church, New York City, NY 10004-1500","This historic and beautiful church is also the National Shrine of Saint Seton. Originally established as a mission for the protection of Irish immigrant girls. The church today serves lower Battery Park City and Financial District residents as well as Fidi workers. Established in 1886 the parish began as a mission for young female Irish immigrants. Occupying two adjacent buildings, The colonial Watson House and the home of Mother Seton. In addition to being a place for special devotion, the Shrine has educational material about her life and the lrish American immigrant experience. Among Saint Seton's many accomplishments, she is the founder of the order of The Sisters of Charity and began the Catholic parochial schools system in the United States.    ",Recommended length of visit: <1 hour,40.70261,-74.01368,Shrine of St. Elizabeth Ann Seton,4,15
208,"210 W 31st St, New York City, NY 10001-2802",-999,Recommended length of visit: <1 hour,40.749073,-73.99281,St. John the Baptist Church,4.5,8
209,"515 Malcolm X Blvd, Harlem, New York City, NY 10037-1801",National research library dedicated to documenting the experiences of peoples of African descent throughout the world.     ,-999,40.81448,-73.94094,Schomburg Center for Research in Black Culture,4.5,12
210,"8 Spruce St, 8 Beekman St, New York City, NY 10038-1556",-999,-999,40.710884,-74.005615,Frank Gehry Building,4.5,9
211,"Broadway and 24th Street, New York City, NY 10010",-999,-999,40.74231,-73.98935,William Jenkins Worth Monument,4,11
212,"71 W 23rd St, New York City, NY 10010-4102",-999,Recommended length of visit: 1-2 hours,40.742912,-73.99233,Grand Masonic Lodge of New York,4.5,7
213,"88th Street, New York City, NY 10128",-999,-999,40.78148,-73.95625,Church of the Holy Trinity,4.5,8
214,"Between Cypress Ave, The Bronx and Hoyt Ave, Queens, New York City, NY",-999,-999,40.70264,-73.91046,Robert F. Kennedy Bridge,4,12
215,"225 West 99th St, at Amsterdam Avenue, New York City, NY 10025-5014",-999,-999,40.79616,-73.96909,Church of St. Michael,4,12
216,"East Drive, Opposite 83rd Street, New York City, NY",-999,Recommended length of visit: <1 hour,40.78155,-73.963005,Alexander Hamilton Statue,4,9
217,"Bl Malcom X Harlem, New York City, NY",-999,-999,40.81005,-73.94373,Mt Olivet Baptist Church,4,13
218,"East 79th Street, Pat Hoffman Friedman Playground, New York City, NY",-999,Recommended length of visit: <1 hour,40.77334,-73.955055,Group of Bears Statue,4,8
219,"184 E 76th St, New York City, NY 10021-2819",-999,Recommended length of visit: <1 hour,40.772503,-73.95954,St. Jean Baptiste Roman Catholic Church,5,6
220,"4140 Broadway, New York City, NY 10033-3701",-999,Recommended length of visit: 1-2 hours,40.84636,-73.93821,United Palace,4.5,9
221,"132 Odell Clark Pl, New York City, NY 10030-2303 (Formerly 132 West 138th Street)",One of the churches in Harlem where inspiring gospel music is an integral part of the sermon.    ,Recommended length of visit: 1-2 hours   Fee: No,40.816914,-73.94152,Abyssinian Baptist Church,2.5,211
222,"New York City, NY",-999,-999,40.728127,-74.007225,Hudson Street,3.5,14
223,"1711 Third Avenue, New York City, NY 10029",-999,-999,40.785484,-73.948586,The New York Mosque,5,7
224,"Murly Square, Greenwich Avenue W 11th, New York City, NY",-999,-999,40.73654,-74.0011,Tiles For America,5,8
225,"131 East Tenth St, New York City, NY",-999,-999,40.73034,-73.98711,St. Mark's-in-the-Bowery Church,4,7
226,"Governors Island, New York Harbor, New York City, NY",-999,-999,40.70108,-74.01163,Castle Williams,4,8
227,"15 East 97th St, New York City, NY 10219",-999,Recommended length of visit: <1 hour,40.788277,-73.954094,St. Nicholas Russian Orthodox Cathedral,4.5,7
228,"547 W 27th St, 4th Floor, New York City, NY 10001-5511",-999,-999,40.75122,-74.004395,Aperture Foundation Gallery,4.5,6
229,"Central Park, 59thSt. betw. 7th Ave & Columbus Circle, New York City, NY",-999,-999,40.768784,-73.97382,Gotham Carriages,4,10
230,"250 E Houston St, Red Square Rooftop, New York City, NY 10002-1034",-999,-999,40.722076,-73.98484,Statue of Lenin,4,6
231,"75 1/2 Bedford St, New York City, NY 10014-4011",-999,Recommended length of visit: <1 hour,40.731384,-74.00499,75 1/2 Bedford Street,4,9
232,"280 Broome St, New York City, NY 10002-3702",-999,-999,40.71858,-73.99118,Kehila Kedosha Janina,5,4
233,"2 E 90th St, New York City, NY 10128-0603",-999,-999,40.78385,-73.95842,The Episcopal Church of The Heavenly Rest,4,8
234,"551 Fifth Ave., New York City, NY",Height is not the only measure of a skyscraper's worth - this alliterative edifice has a lovely Art Deco/Moorish flavor.    ,-999,40.75559,-73.97913,Fred F. French Building,4,8
235,"51 W 52nd St, New York City, NY 10019-6119",-999,-999,40.760715,-73.97813,CBS Building,3.5,15
236,"Riverside Drive and 93rd Street, New York City, NY",-999,-999,40.79403,-73.9763,Joan of Arc Memorial,4.5,5
237,"520 Park Ave, New York City, NY 10065-8001",-999,-999,40.7638,-73.96974,Christ Church,4,7
238,"West 72nd street, New York City, NY",-999,-999,40.77873,-73.98192,Wagner Cove,4.5,5
239,"132 West 116th Street, New York City, NY 10026",-999,-999,40.80228,-73.95163,Canaan Baptist Church of Christ,4.5,5
240,"701 Fort Washington Ave, New York City, NY",-999,-999,40.85817,-73.93548,Shrine of Frances Xavier Cabrini,4.5,5
241,"6 Pennyfield Avenue, New York City, NY 10465",-999,-999,40.805225,-73.79152,Maritime Industry Museum at Fort Schuyler,5,5
242,"No. 7 Washington Square, New York City, NY",-999,-999,40.73117,-73.99618,No. 7 Washington Square,4,6
243,"West 59 St., Central Park West, New York City, NY",-999,-999,40.77229,-73.97887,Monumento a Cristobal Colon,4,6
244,"869 Lexington Avenue, New York City, NY 10065",-999,Recommended length of visit: <1 hour,40.76612,-73.96505,Church of Saint Vincent Ferrer,5,3
245,"225 Malcolm X Blvd, New York City, NY 10027-6341",-999,-999,40.805515,-73.9474,Ebenezer Gospel Tabernacle,4.5,5
246,"11 East 52nd Street, New York City, NY 10022",-999,-999,40.75957,-73.97526,Austrian Cultural Forum,4.5,6
247,"16 W 26th St, New York City, NY 10010-2010",-999,-999,40.74401,-73.98986,Saint Sava Serbian Orthodox Cathedral,4,6
248,"59 Park Avenue at 38th Street, New York City, NY 10016",-999,-999,40.749573,-73.97942,Church of Our Savior,3.5,12
249,"211 Central Park W, New York City, NY 10024-6020",-999,-999,40.782578,-73.971886,Beresford,4,6
250,"25 Carmine St, New York City, NY 10014-4423",-999,Recommended length of visit: <1 hour,40.730316,-74.002975,Our Lady of Pompeii,4,5
251,"630 2nd Ave, New York City, NY 10016-4806",-999,Recommended length of visit: <1 hour,40.744984,-73.97516,St. Vartan Armenian Cathedral,4.5,6
252,"150 E 36th St # 158, New York City, NY 10016-3504",-999,-999,40.747128,-73.97804,Sniffen Court Historic District,4.5,5
253,"W. 138th and W. 139th Sts. between Adam Clayton Powell Jr. and Frederick Douglass Blvds., Harlem, New York City, NY",-999,-999,40.8181,-73.9436,Strivers' Row,4,6
254,"601 Lexington Ave, New York City, NY 10022-6004",-999,-999,40.758484,-73.97025,Citicorp Center,3,10
255,"171 E 121st St, New York City, NY 10035-3524",-999,Recommended length of visit: 2-3 hours,40.80154,-73.93839,Elmendorf Reformed Church,5,4
256,"Between Hudson St. and 7th Ave. S, New York City, NY",-999,-999,40.733227,-74.00303,St. Luke's Place,4.5,4
257,"79th Street, East Side of the Turtle Pond, New York City, NY",-999,Recommended length of visit: <1 hour,40.77885,-73.96835,King Jagiello Monument,3,11
258,"51 Christopher St # 53, New York, New York City, NY 10014-3530",-999,-999,40.73363,-74.00226,51-53 Christopher Street,3.5,10
259,"529 West 121th St, between Broadway and Amsterdam avenues, New York City, NY 10027-5901",-999,-999,40.81096,-73.96067,Corpus Christi Church,5,3
260,"10 E 130th St, Harlem, New York City, NY 10037-3707",One of the Harlem churches in which inspiring gospel music is an integral part of the sermon.     ,-999,40.80914,-73.93931,Kelly Temple,5,3
261,"20 Cardinal Hayes Pl, New York City, NY 10007-1798",-999,-999,40.71328,-74.00232,St Andrew Church,3.5,6
262,"1 Chase Manhattan Plz, Between Pine, Liberty, Nassau, and William Streets, New York City, NY 10005-1401",-999,-999,40.707905,-74.00954,One Chase Manhattan Plaza,4,5
263,"111 Worth St Apt 4G, New York City, NY 10013-4017",-999,Recommended length of visit: <1 hour,40.716133,-74.00365,Foley Square,4,4
264,"New York City, NY",-999,-999,-999,-999,Sixth Avenue (Avenue of the Americas),4,3
265,"41st Street, New York City, NY 10017",-999,-999,40.750187,-73.97511,Library Way,4.5,3
266,"East 43rd Street, Between Madison and Fifth, New York City, NY 10017",-999,-999,40.752132,-73.97557,The Kneeling Fireman,5,2
267,"Ave of the Americas & W 47th St, New York City, NY 10036",-999,-999,40.75792,-73.98166,Diamond District,5,2
268,"110th Street and Fifth Ave., New York City, NY 10029","Kids can visit a simulated Underground Railroad while attending learning workshops, storytelling and other fun activities.    ",-999,40.79718,-73.94904,Dana Discovery Center,4,3
269,"New York City, NY",-999,Recommended length of visit: <1 hour,-999,-999,Pier 54,4,4
270,"143 E 43rd St, New York City, NY 10017-4007",-999,Recommended length of visit: <1 hour,40.7519,-73.97446,Church of Saint Agnes,3.5,5
271,"328 W 14th St, between Seventh and Eighth Avenues, in the Greenwich Village section of Manhattan in New York City., New York City, NY 10014-5002",-999,Recommended length of visit: <1 hour,40.7401,-74.00408,Church of Our Lady of Guadalupe,3.5,6
272,"28 Greene St, Soho, New York City, NY 10013-2524",-999,-999,40.7212,-74.00246,Queen of Greene Street,4,4
273,"211 W 141st St, New York City, NY 10030-1707",-999,Recommended length of visit: 1-2 hours,40.819607,-73.94166,Church of St Charles Borromeo,5,2
274,"147 W 144th St, Harlem, New York City, NY 10030-1301",-999,Recommended length of visit: 1-2 hours,40.820877,-73.93879,Cathedral Church of St. Thomas the Apostle,5,2
275,"115th Off Pleasant Avenue, New York City, NY 10029",-999,Recommended length of visit: 1-2 hours,40.794716,-73.933395,Church of Our Lady of Mount Carmel,5,2
276,"3 Henry Street, corner of Oliver St at Chatham Sq, New York City, NY 10038","Mariners' Temple Baptist Church, the oldest baptist church in Manhattan (Historical Landmark).åÊåÊWe have a noon day service every Wednesday from 12pm-1pm.åÊåÊIt's called the Lunch Hour of Power Service, and it is a baptist service with preaching and gospel singing, in a span of one hour.    ",-999,40.71286,-73.99776,Mariners' Temple Baptist Church,5,2
277,"17 State St, New York City, NY 10004",Description: Archaeological dig in New York.,-999,40.702885,-74.013985,New York Unearthed,4.5,3
278,"44 John Street, New York City, NY",-999,-999,40.709133,-74.0081,John Street United Methodist Church,4.5,3
279,"Bleecker St, New York City, NY 10014",-999,-999,40.73316,-74.00411,Father Demo Square,4.5,2
280,"619 Lexington Ave, New York City, NY 10022-4613",-999,Recommended length of visit: 1-2 hours,40.758564,-73.97038,Saint Peter‰Ûªs Church,3.5,5
281,"7 W 55th St, New York City, NY 10019-4902",-999,Recommended length of visit: <1 hour,40.76208,-73.97525,Fifth Avenue Presbiterian Church,4,3
282,"135 East 96th Street, New York City, NY 10128",-999,-999,40.786373,-73.95142,St. Francis de Sales Church,4.5,2
