address,category,latitude,longitude,number_of_price,number_of_review,restaurant_name,score_of_review
"53 Great Jones StNew York, NY 10012",Italian,40.726453,-73.9925,3,409,il Buco Alimentari & Vineria,3.5
"176 Prince StNew York, NY 10012","Italian,Pizza",40.726207,-74.0018,2,669,Il Corallo Trattoria,4
"54 W 55th StNew York, NY 10019",Italian,40.762463,-73.9771,3,215,Il Corso,4
"2150 44th DrLong Island City, NY 11101",Italian,40.747659,-73.9455,3,168,Il Falco,4.5
"13-15 W 54th StNew York, NY 10019",Italian,40.761499,-73.9763,3,80,Il Gattopardo,4
"86 W 3rd StNew York, NY 10012",Italian,40.729807,-73.9991,4,419,Il Mulino,4
"37 E 60th StNew York, NY 10021",Italian,40.764144,-73.9701,4,106,Il Mulino New York,3.5
"331 W BroadwayNew York, NY 10013","Steakhouses,Italian",40.722249,-74.0037,3,72,Il Mulino Prime,3
"101 Liberty StNew York, NY 10006","Seafood,Italian",40.709708,-74.0116,2,5,Il Pesce,3
"37 Washington AveBrooklyn, NY 11205","Pizza,Italian",40.697398,-73.9674,2,229,Il Porto,4
"37 Washington AveBrooklyn, NY 11205","Pizza,Italian",40.697398,-73.967443,2,229,Il Porto,4
"190 E 2nd StNew York, NY 10009","Italian,WineBars",40.722409,-73.984,2,106,Il Posto Accanto,4.5
"525 Greenwich StNew York, NY 10013",Italian,40.726415,-74.0088,4,31,il Principe,3.5
"507 9th AveNew York, NY 10018","Italian,WineBars",40.756124,-73.9946,3,210,Il Punto Ristorante,4
"310 5th AveBrooklyn, NY 11215","Italian,Peruvian",40.673332,-73.983169,2,34,Il Sogno Secondo,4.5
"236 5th AveNew York, NY 10001","Mediterranean,Lebanese",40.744421,-73.9879,3,1831,ilili,4
"28 West StNew York, NY 10004","Italian,Pizza",40.706115,-74.017192,2,211,Inatteso Pizzabar Casano,4
"123 W 56th StNew York, NY 10019",Indian,40.764334,-73.9787,4,123,Indian Accent,4.5
"328 Douglass StBrooklyn, NY 11217","Korean,Bars,Karaoke",40.679601,-73.9825,3,98,Insa,3.5
"43 W 46th StNew York, NY 10036","Brazilian,LatinAmerican,Portuguese",40.757072,-73.9807,2,659,Ipanema Restaurant,4
"43 W 46th StNew York, NY 10036","Brazilian,LatinAmerican,Portuguese",40.757072,-73.980779,2,658,Ipanema Restaurant,4
"65 4th AveNew York, NY 10003",Ramen,40.730939,-73.9902,2,8518,Ippudo NY,4
"321 W 51st StNew York, NY 10019",Ramen,40.76354,-73.9865,2,2271,Ippudo Westside,4
"321 W 51st StNew York, NY 10019",Ramen,40.76354,-73.9865,2,2273,Ippudo Westside,4
"32 Cliff StNew York, NY 10038","DiveBars,Burgers",40.708103,-74.0049,1,297,Iron Horse NYC,4
"63 Cooper SqNew York, NY 10003","Japanese,SushiBars",40.729102,-73.99,3,52,Ise Restaurant,4.5
"63 Cooper SqNew York, NY 10003","Japanese,SushiBars",40.729102,-73.99,3,53,Ise Restaurant,4.5
"1028 3rd AveNew York, NY 10065",Italian,40.762831,-73.966,3,138,Isle of Capri,4
"1032 Union StBrooklyn, NY 11225","Vegetarian,Vegan",40.669693,-73.957932,2,51,Ital Kitchen,4.5
"326 E 6th StNew York, NY 10003","Japanese,Tapas/SmallPlates",40.726724,-73.9873,2,128,Izakaya,4.5
"326 E 6th StNew York, NY 10003","Japanese,Tapas/SmallPlates",40.726724,-73.9873,2,129,Izakaya,4.5
"53 W 35th StNew York, NY 10001","SushiBars,Izakaya,CocktailBars",40.750154,-73.9862,2,1170,Izakaya MEW,4
"13 W 26th StNew York, NY 10010","Japanese,Gastropubs",40.744019,-73.9895,2,297,Izakaya NoMad,4
"66 Hicks StBrooklyn, NY 11201","American(New),Desserts,Bars",40.700038,-73.9937,3,317,Jack the Horse Tavern,4
"50 Carmine StNew York, NY 10014",Mediterranean,40.730097,-74.0031,2,305,Jack_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s Wife Freda,4
"224 Lafayette StNew York, NY 10012","Breakfast&Brunch,Mediterranean",40.722135,-73.9975,2,1023,Jack_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s Wife Freda,4
"171 3rd AveNew York, NY 10003","Japanese,Burgers,SushiBars",40.734705,-73.985819,2,257,JackÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌâåÌÄåÎÌâå«ÌÄå´ÌÄåös Sliders & Sushi,4
"50 Carmine StNew York, NY 10014",Mediterranean,40.730097,-74.0031,2,305,JackÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s Wife Freda,4
"50 Carmine StNew York, NY 10014",Mediterranean,40.730097,-74.0031,2,305,JackÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s Wife Freda,4
"10-37 Jackson AveLong Island City, NY 11101","American(Traditional),WineBars",40.742384,-73.9532,2,24,JacksonÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s Eatery | Bar,4
"10-37 Jackson AveLong Island City, NY 11101","American(Traditional),WineBars",40.742384,-73.9532,2,24,JacksonÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s Eatery | Bar,4
"509 Amsterdam AveNew York, NY 10024","ComfortFood,Southern,American(Traditional)",40.78665,-73.9755,2,2228,JacobÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s Pickles,4
"509 Amsterdam AveNew York, NY 10024","ComfortFood,Southern,American(Traditional)",40.78665,-73.9755,2,2228,JacobÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s Pickles,4
"605 Carlton AveBrooklyn, NY 11238",American(New),40.678984,-73.9714,3,344,James,4
"100 W Houston StNew York, NY 10012","American(Traditional),ModernEuropean",40.727377,-74.0001,2,2568,Jane,4
"116 E 27th StNew York, NY 10016","Jazz&Blues,Barbeque",40.742164,-73.9838,3,178,Jazz Standard,4
"1343 2 AveNew York, NY 10021",French,40.768015,-73.9592,3,69,Jean Claude 2,4
"685 5th AveBrooklyn, NY 11215","Gastropubs,Breakfast&Brunch,CocktailBars",40.661421,-73.992948,2,196,jeatjet?,4
"201 1st AveNew York, NY 10003","Filipino,Gastropubs,Burgers",40.730294,-73.983539,2,692,Jeepney,4
"239 E 5th StNew York, NY 10003","SushiBars,Japanese",40.727066,-73.9892,4,429,Jewel Bako,4
"15 Thompson StNew York, NY 10013","Lounges,American(New)",40.722488,-74.0047,3,235,Jimmy,3.5
"326 W 46th StNew York, NY 10036","American(Traditional),WineBars,Sandwiches",40.760131,-73.989051,2,265,Joe Allen,4
"W 125th St BroadwayNew York, NY 10027",Delis,40.815232,-73.9581,4,1,Joe Joe Broadway Deli,5
"167 3rd AveNew York, NY 10003",Diners,40.734631,-73.985873,1,218,Joe Jr. Restaurant,4
"160 E 64th StNew York, NY 10065","American(New),French",40.765201,-73.9656,3,538,JoJo,3.5
"22 W 32nd StNew York, NY 10001","Korean,Barbeque",40.747656,-73.9871,2,549,Jongro BBQ,4
"22 W 32nd StNew York, NY 10001","Korean,Barbeque",40.747656,-73.9871,2,550,Jongro BBQ,4
"493A 9th AveNew York, NY 10018","Cafes,Coffee&Tea,Italian",40.755758,-73.994968,1,131,JonnyÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´Ìâå¢ÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎÌâåÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´ÌÄåös Panini,4.5
"47-46 11th StLong Island City, NY 11101",Peruvian,40.743816,-73.9515,2,234,Jora Restaurant & Bar,4.5
"170 Waverly PlNew York, NY 10014","American(New),French",40.733602,-74.0016,2,547,Joseph Leonard,4
"170 Waverly PlNew York, NY 10014","American(New),French",40.733602,-74.0016,2,546,Joseph Leonard,4
"1567 Lexington AveNew York, NY 10029","Burgers,Sandwiches,Salad",40.788436,-73.948689,1,458,Joy Burger Bar,4
"215 Ct StBrooklyn, NY 11201",Thai,40.686666,-73.993559,2,1061,Joya,4
"207 10th AveNew York, NY 10011","Japanese,SushiBars",40.747387,-74.0047,3,77,Juban,4.5
"237 E 53rd StNew York, NY 10022",Japanese,40.757209,-73.9678,3,110,Jukai,4
"19 Old Fulton StBrooklyn, NY 11201",Pizza,40.702615,-73.9934,2,1147,Juliana_ÌÄåÎÌÄå_ÌÄå´Ìâå£_s Pizza,4.5
"19 Old Fulton StBrooklyn, NY 11201",Pizza,40.702615,-73.9934,2,1147,JulianaÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s Pizza,4.5
"19 Old Fulton StBrooklyn, NY 11201",Pizza,40.702615,-73.9934,2,1147,JulianaÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s Pizza,4.5
"231 Court StBrooklyn, NY 11201","WineBars,Breakfast&Brunch",40.686066,-73.9938,2,86,June,4.5
"2 Harrison StNew York, NY 10013",Korean,40.718591,-74.0088,4,330,Jungsik,4.5
"1515 BroadwayNew York, NY 10036","Diners,American(Traditional),Breakfast&Brunch",40.758266,-73.986653,2,2523,JuniorÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌâåÌÄåÎÌâå«ÌÄå´ÌÄåös Restaurant,4
"386 Flatbush Ave ExtensionBrooklyn, NY 11238","Bakeries,Diners",40.690152,-73.981963,2,1231,JuniorÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌâåÌÄåÎÌâå«ÌÄå´ÌÄåös Restaurant,4
"1515 BroadwayNew York, NY 10036","Diners,American(Traditional),Breakfast&Brunch",40.758266,-73.9866,2,2523,JuniorÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s Restaurant,4
"1515 BroadwayNew York, NY 10036","Diners,American(Traditional),Breakfast&Brunch",40.758266,-73.9866,2,2523,JuniorÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s Restaurant,4
"112 Berry StBrooklyn, NY 11211","Burgers,American(Traditional),Sandwiches",40.718899,-73.959,2,430,Juniper,4
"27 W 24th StNew York, NY 10010","Indian,Desserts,WineBars",40.743193,-73.9908,3,966,Junoon,3.5
"19-23 Ditmars BlvdAstoria, NY 11105","CocktailBars,Breakfast&Brunch,Cafes",40.780918,-73.917023,1,33,Juuz.me,5
"772 9th AveNew York, NY 10019","Bars,Steakhouses",40.764355,-73.988,3,309,K Rico,4.5
"324 E 6th StNew York, NY 10003",Korean,40.726733,-73.9874,2,233,K_ÌÄåÎÌÄå_ÌÄå´Ìâå£_OOK,4
"2512 Steinway StAstoria, NY 11103","MiddleEastern,Cafes",40.767747,-73.9122,3,203,Kabab CafÌÄåÎÌÄå_ÌÄå´ÌâåÌÄåÎÌâå«ÌÄå´Ìâå©,4
"182 Havemeyer StBrooklyn, NY 11211","Afghan,MiddleEastern,Mediterranean",40.710663,-73.9577,1,121,Kabob Shack,4
"182 Havemeyer StBrooklyn, NY 11211","Afghan,MiddleEastern,Mediterranean",40.710663,-73.957783,1,121,Kabob Shack,4
"116 Ave CNew York, NY 10009",ModernEuropean,40.72422,-73.9784,2,312,Kafana,4
"125 E 39th StNew York, NY 10016","Japanese,Vegetarian,Vegan",40.749861,-73.9777,4,135,Kajitsu,4
"1 E 32nd StNew York, NY 10016","Korean,Barbeque",40.747173,-73.9852,3,616,Kang Ho Dong Baekjeong,3.5
"152-12 Northern BlvdFlushing, NY 11354","Korean,Barbeque",40.764702,-73.8124,3,620,Kang Ho Dong Baekjeong,4
"175 2nd AveNew York, NY 10003","Japanese,SushiBars",40.730545,-73.9865,3,504,Kanoyama,4
"283 Van Brunt StBrooklyn, NY 11231",Thai,40.679072,-74.0106,2,129,Kao Soy,4
"306 E 46th StNew York, NY 10017","Japanese,Seafood,PianoBars",40.752073,-73.9699,2,46,KaoruMC,4.5
"976 Madison AveNew York, NY 10075",SushiBars,40.774661,-73.9635,4,25,Kappo Masa,3
"337 W 30th StNew York, NY 10001","Bars,Barbeque",40.750534,-73.9967,4,4,Kaptan_ÌÄåÎÌÄå_ÌÄåÎÌÄåÒÌÄåÎÌÄå_ÌÄå´Ìâå©s Deck,5
"166 Dekalb AveBrooklyn, NY 11217",Japanese,40.689416,-73.9732,3,12,Karasu,4.5
"31-00 47th AveLong Island City, NY 11101","LatinAmerican,Cafes",40.742789,-73.935557,1,9,Karu CafÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´Ìâå©,5
"852 9th AveNew York, NY 10019","Mediterranean,WineBars,TapasBars",40.766758,-73.9861,2,342,Kashkaval Garden,4
"5 W 21st StNew York, NY 10010","Mediterranean,American(New),Bars",40.740611,-73.9909,3,107,Kat & Theo,3.5
"103-01 Metropolitan AveForest Hills, NY 11375","Japanese,SushiBars",40.710411,-73.8499,3,136,Katsuno,4
"205 E Houston StNew York, NY 10002","Delis,Sandwiches",40.722216,-73.9875,2,7345,KatzÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s Delicatessen,4
"205 E Houston StNew York, NY 10002","Delis,Sandwiches",40.722216,-73.9875,2,7345,KatzÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s Delicatessen,4
"1007 50th AveLong Island City, NY 11101","Greek,Venues&EventSpaces",40.742846,-73.9535,2,97,Kavala Estiatorio,4.5
"185 Avenue CNew York, NY 10009","American(Traditional),Burgers,ModernEuropean",40.726876,-73.977,2,27,Kaz,5
"72 W 36th StNew York, NY 10018",Steakhouses,40.750679,-73.9864,4,1662,Keens Steakhouse,4
"1600 BroadwayNew York, NY 10019","Breakfast&Brunch,IceCream&FrozenYogurt",40.760177,-73.984305,1,82,KelloggÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´Ìâå¢ÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎÌâåÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´ÌÄåös NYC,4
"89-21 Northern BlvdQueens, NY 11372","Halal,Afghan,Pizza",-999,-999,1,-999,Kennedy Chicken Pizza & Kabab,-999
"89-21 Northern BlvdQueens, NY 11372","Pizza,Halal,Afghan",-999,-999,1,-999,Kennedy Chicken Pizza & Kabab,-999
"89-21 Northern BlvdQueens, NY 11372","Afghan,Pizza,Halal",-999,-999,1,-999,Kennedy Chicken Pizza & Kabab,-999
"89-21 Northern BlvdQueens, NY 11372","Halal,Pizza,Afghan",-999,-999,1,-999,Kennedy Chicken Pizza & Kabab,-999
"89-21 Northern BlvdQueens, NY 11372","Afghan,Halal,Pizza",-999,-999,1,-999,Kennedy Chicken Pizza & Kabab,-999
"89-21 Northern BlvdQueens, NY 11372","Pizza,Afghan,Halal",-999,-999,1,-999,Kennedy Chicken Pizza & Kabab,-999
"331 Henry StBrooklyn, NY 11201","Coffee&Tea,Donuts,Breakfast&Brunch",40.690331,-73.996429,2,68,Key&Cup,4.5
"297 BroadwayBrooklyn, NY 11211",Korean,40.708559,-73.9579,2,95,Kichin,5
"130 Division StNew York, NY 10002","Greek,Salad",40.714497,-73.9918,2,219,Kiki_ÌÄåÎÌÄå_ÌÄå´Ìâå£_s,4.5
"130 Division StNew York, NY 10002","Greek,Salad",40.714497,-73.9918,2,219,KikiÌÄåÎÌÄå__ÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄåÎÌÄå¦s,4.5
"130 Division StNew York, NY 10002","Greek,Salad",40.714497,-73.9918,2,219,KikiÌÄåÎÌâå«_ÌÄåÎÌâå«ÌÄåÎÌÄåÓÌÄåÎÌÄå_ÌÄåÎÌâå_s,4.5
"18 King StNew York, NY 10014","ModernEuropean,Italian,French",40.727564,-74.0034,3,22,King,4.5
"53rd & Park AveNew York, NY 10022","Falafel,FoodStands",40.759234,-73.972864,1,121,King of Falafel & Shawarma - Cart,4.5
"251 E 82nd StNew York, NY 10028",American(New),40.775608,-73.9539,3,135,King_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s Carriage House,4
"92 E BroadwayNew York, NY 10002",Chinese,40.713948,-73.9936,1,79,King_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_s Kitchen,4
"190 Ave BNew York, NY 10009","American(New),French,Bars",40.727861,-73.9792,3,42,Kingsley,4.5
"303 E 53rd StNew York, NY 10022","TapasBars,French,CocktailBars",40.756724,-73.9666,3,6,Kiss My French,4
"37-70 79th StJackson Heights, NY 11372",Thai,40.747559,-73.8868,2,320,Kitchen 79,4.5
"847 Union StBrooklyn, NY 11215","American(New),Breakfast&Brunch",40.674716,-73.9757,2,301,Kiwiana,4
"1224 Anderson AveFort Lee, NJ 07024","ChickenWings,Korean,FastFood",40.840002,-73.981022,2,28,Ko-Ko Chicken,4.5
"881 5th AveBrooklyn, NY 11232",Turkish,40.651455,-74.0035,1,157,Kofte Piyaz,4.5
"125 E 39th StNew York, NY 10016",Japanese,40.749861,-73.9777,3,46,Kokage,4
"408 West 15th StNew York, NY 10011","CocktailBars,American(New),MusicVenues",40.741777,-74.0057,3,16,Kola House,3.5
"51B Canal StNew York, NY 10002","Malaysian,Breakfast&Brunch,Singaporean",40.714878,-73.9917,1,159,Kopitiam,4.5
"51B Canal StNew York, NY 10002","Malaysian,Breakfast&Brunch,Singaporean",40.714878,-73.991721,1,160,Kopitiam,4.5
"1662 3rd AveNew York, NY 10128","Greek,Mediterranean,Seafood",40.783492,-73.9509,3,107,Korali Estiatorio,4
"667 5th AveBrooklyn, NY 11215","ModernEuropean,Burgers",40.662019,-73.992431,2,298,Korzo,4
"977 Bay StStaten Island, NY 10305","ModernEuropean,Breakfast&Brunch,Burgers",40.618844,-74.0694,2,23,Korzo Klub,5
"977 Bay StStaten Island, NY 10305","ModernEuropean,Breakfast&Brunch,Burgers",40.618844,-74.0694,2,24,Korzo Klub,5
"220 W 13th StNew York, NY 10011","Japanese,SushiBars",40.738197,-74.0014,4,65,Kosaka,4
"250 Broome StNew York, NY 10002",SriLankan,"40.71822,",-73.9896,2,165,Kottu House,4.5
"231 Prospect Park WBrooklyn, NY 11215","Bars,Coffee&Tea,American(New)",40.659824,-73.9805,2,187,Krupa Grocery,4.5
"94 E 7th StNew York, NY 10009",Japanese,40.726624,-73.9853,4,379,Kyo Ya,4.5
"225 Liberty StNew York, NY 10281","French,CocktailBars",40.711983,-74.0152,4,17,L_ÌÄåÎÌÄå_ÌÄåÎÌÄåÒÌÄåÎÌÄå_ÌÄå´Ìâå©Appart,5
"851 6th AveNew York, NY 10001",Italian,40.74721,-73.9899,3,154,L_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_Amico NYC,3.5
"225 Liberty StNew York, NY 10281","French,CocktailBars",40.711983,-74.0152,4,17,L_ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌâå«_Appart,5
"15 Essex StNew York, NY 10002","Burgers,Sandwiches",40.715178,-73.99,1,196,L.E.S kitchen,4.5
"15 Essex StNew York, NY 10002","Burgers,Sandwiches",40.715178,-73.990094,1,199,L.E.S kitchen,4.5
"132 Montague StBrooklyn, NY 11201","Argentine,Steakhouses",40.6945,-73.994,3,18,La Barrita,5
"145 E 49th StNew York, NY 10017",Pizza,40.755996,-73.972121,1,190,La Bellezza,4
"75 W 68th StNew York, NY 10023",French,40.774924,-73.9802,3,161,La Boite en Bois,3.5
"65 2nd AveNew York, NY 10003","LatinAmerican,Peruvian,Tapas/SmallPlates",40.726063,-73.9897,2,533,La Cerveceria,4
"540 Lexington AveNew York, NY 10022",Chinese,40.756226,-73.9728,4,69,La Chine,4
"284 Mulberry StNew York, NY 10012","Sandwiches,Cafes,Spanish",40.724419,-73.994899,1,220,La Churreria,4
"215 Union StBrooklyn, NY 11231","French,German,CocktailBars",40.683486,-73.9992,2,215,La Cigogne,4.5
"102 Norfolk StNew York, NY 10002","Mexican,Bars,Breakfast&Brunch",40.718723,-73.9869,2,314,La Contenta,4.5
"102 Norfolk StNew York, NY 10002","Mexican,Bars,Breakfast&Brunch",40.718723,-73.9869,2,315,La Contenta,4.5
"200 Park AveNew York, NY 10166","Spanish,Tapas/SmallPlates",40.753418,-73.9771,3,258,La Fonda Del Sol,3.5
"2 Clarkson StNew York, NY 10014",French,40.729354,-74.0052,3,4,La Gauloise,4
"3 E 52nd StNew York, NY 10022","French,Venues&EventSpaces",40.759679,-73.9755,4,311,La Grenouille,4
"129 MacDougal StNew York, NY 10012",Italian,40.730708,-74.0001,2,1039,La Lanterna di Vittorio,4
"709 Church AveBrooklyn, NY 11218","CocktailBars,Mexican",40.64576,-73.972868,2,42,La Loba Cantina,4.5
"29 7th Ave SNew York, NY 10014",Mexican,40.730786,-74.0041,2,157,La Loteria,4
"17 E 13th StNew York, NY 10003","Sandwiches,French",40.735029,-73.99296,1,224,La Maison du Croque Monsieur,4
"1008 2nd AveNew York, NY 10022",French,40.756832,-73.9668,3,183,La Mangeoire,3.5
"102 W 86th StNew York, NY 10024",French,40.786351,-73.9726,3,89,La Mirabelle,4
"371 W 46 StNew York, NY 10036","LatinAmerican,Seafood,CocktailBars",40.760903,-73.9905,3,450,La Pulperia,4.5
"1626 2nd AveNew York, NY 10028","LatinAmerican,Seafood,CocktailBars",40.776601,-73.9527,2,344,La Pulperia UES,4.5
"1626 2nd AveNew York, NY 10028","LatinAmerican,Seafood,CocktailBars",40.776601,-73.952733,2,344,La Pulperia UES,4.5
"558 Broome StNew York, NY 10013",French,40.724364,-74.0057,3,1316,La Sirene,4.5
"548 Court StBrooklyn, NY 11231",Mexican,40.675054,-73.9995,2,152,La Slowteria,4.5
"New York, NY 10001","Empanadas,FoodStands",40.753685,-73.999163,1,43,La Sonrisa Empanadas,4.5
"153 E 33rd StNew York, NY 10016","French,German,Bars",40.745495,-73.9795,2,183,La Tarte Flambee,4.5
"153 E 33rd StNew York, NY 10016","French,German,Bars",40.745495,-73.979576,2,183,La Tarte Flambee,4.5
"268 Clinton StBrooklyn, NY 11201",Spanish,40.687804,-73.9957,3,255,La Vara,4
"558 11th AveNew York, NY 10036","Pizza,Italian,Bars",40.761115,-73.998111,2,89,La Vela Dining & Bar,4
"398 E 52nd StNew York, NY 10022",Italian,40.754899,-73.965,3,34,La Villetta,4
"398 W BroadwayNew York, NY 10012","French,TeaRooms,Breakfast&Brunch",40.724393,-74.0024,3,887,LadurÌÄåÎÌÄå_ÌÄå´ÌâåÌÄåÎÌâå«ÌÄå´Ìâå©e Soho,3.5
"127 Macdougal StNew York, NY 10012","Vegan,TapasBars,WineBars",40.730644,-74.0001,3,32,Ladybird,4
"254 S 2nd StWilliamsburg, NY 11211",Pizza,40.711583,-73.95787,1,123,LÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´Ìâå¢ÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎÌâåÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´ÌÄåöindustrie Pizzeria,5
"489 Columbus AveNew York, NY 10024","Indian,WineBars,BeerBar",40.78477,-73.973046,2,29,Lala Sahab Modern Indian Fare,4.5
"630 10th AveNew York, NY 10036",Dominican,40.761285,-73.993935,1,138,Lali Restaurant,4.5
"144 E BroadwayNew York, NY 10002","Chinese,Noodles",40.714145,-73.9912,1,977,Lam Zhou Handmade Noodle,4
"161 E 22nd StNew York, NY 10010","CheeseShops,ComfortFood",40.738366,-73.9837,1,86,Lamarca Cheese Shop,4.5
"161 E 22nd StNew York, NY 10010","CheeseShops,ComfortFood",40.738366,-73.983773,1,87,Lamarca Cheese Shop,4.5
"161 E 22nd StNew York, NY 10010","Italian,PastaShops,Sandwiches",40.738355,-73.983783,2,236,Lamarcapasta,4
"370 3rd AveNew York, NY 10016","CheeseShops,Sandwiches,Caterers",40.741297,-73.981629,1,253,Lamazou,4.5
"179 W BroadwayNew York, NY 10013","French,Italian","40.71794,",-74.0071,3,487,Landmarc,3.5
"10 Columbus CirNew York, NY 10019","Breakfast&Brunch,American(New),French",40.768829,-73.9823,3,874,Landmarc,3.5
"28 Forsyth StNew York, NY 10002",Chinese,40.71522,-73.99418,1,59,Lao Di Fang,4
"170 W 4th StNew York, NY 10014",Tapas/SmallPlates,40.732018,-74.0016,2,586,Las Ramblas,4
"2656 BroadwayNew York, NY 10025","Chinese,AsianFusion,Noodles",40.797339,-73.9692,2,9,Lava Kitchen,3.5
"545 E 5th StNew York, NY 10009",Italian,40.724094,-73.9823,3,305,Lavagna Restaurant,4
"533 Grand StBrooklyn, NY 11211","Breakfast&Brunch,French",40.711237,-73.95,2,896,Le Barricou,4
"230 E 51st StNew York, NY 10022","French,WineBars",40.755746,-73.9691,3,310,Le Bateau Ivre,4
"833 Lexington AvenueNew York, NY 10065","WineBars,Vegan,OrganicStores",40.764998,-73.9659,2,108,Le Botaniste,4.5
"661 Lexington AveNew York, NY 10022","Coffee&Tea,Sandwiches",40.759666,-73.9697,1,6,Le CafÌÄåÎÌÄå_ÌÄå´ÌâåÌÄåÎÌâå«ÌÄå´Ìâå© coffee,4.5
"661 Lexington AveNew York, NY 10022","Coffee&Tea,Sandwiches",40.759666,-73.969741,1,6,Le CafÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎ_ÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄåÎÌâå£ÌÄåÎÌÄå_ÌÄåÎÌÄå£ÌÄåÎÌâå«ÌÄå´ÌâåÇÌÄåÎÌÄå_ÌÄåÎÌâå¢ÌÄåÎÌâå«ÌÄå´Ìâå© coffee,4.5
"20 E 69th StNew York, NY 10021",French,40.769744,-73.9663,3,76,Le Charlot,3
